model,window,predicted_label,prob_No Flare,prob_B,prob_C,prob_M,prob_X
solarflare_tcn_oversampled_ws2.h5,22-23,B,0.35630345344543457,0.5666441321372986,0.035886917263269424,0.041164033114910126,1.3858116290066391e-06
solarflare_tcn_oversampled_ws4.h5,0-3,M,2.70381454855681e-13,9.791164075068082e-07,7.990210724528879e-05,0.9999191761016846,7.909582988574471e-10
solarflare_tcn_oversampled_ws4.h5,1-4,M,7.440482149671801e-13,2.2154811176733347e-06,7.261550490511581e-05,0.9999251365661621,9.608295270524536e-10
solarflare_tcn_oversampled_ws4.h5,2-5,M,1.1958399765213401e-12,1.1364692909410223e-05,0.00010778901923913509,0.9998809099197388,2.0718560200805314e-10
solarflare_tcn_oversampled_ws4.h5,3-6,M,3.941508577853803e-12,1.9600016457843594e-05,0.00029424583772197366,0.9996862411499023,9.55838963534461e-10
solarflare_tcn_oversampled_ws4.h5,4-7,No Flare,0.9881290793418884,5.180420998840418e-07,0.01170969009399414,7.772718163323589e-06,0.00015302543761208653
solarflare_tcn_oversampled_ws4.h5,5-8,M,9.708873221825343e-06,7.050431304378435e-05,7.519792234234046e-06,0.9637780785560608,0.036134250462055206
solarflare_tcn_oversampled_ws4.h5,6-9,M,3.1546319369832825e-17,3.971542355429847e-06,1.849408909038175e-05,0.9999775886535645,1.836103972622225e-18
solarflare_tcn_oversampled_ws4.h5,7-10,M,1.43472386748833e-10,0.0004318573628552258,0.0004886295646429062,0.9990794658660889,3.4475213482598743e-12
solarflare_tcn_oversampled_ws4.h5,8-11,M,2.2988130496393033e-11,6.899151230754796e-06,3.969187673646957e-05,0.9999533891677856,3.87540755042437e-09
solarflare_tcn_oversampled_ws4.h5,9-12,M,1.0804516135942688e-11,1.1263115084148012e-05,2.339775164728053e-05,0.9999654293060303,6.723760992422001e-10
solarflare_tcn_oversampled_ws4.h5,10-13,M,4.172682685488205e-11,1.5790048564667813e-05,1.027485905069625e-05,0.9999740123748779,1.6307900863044011e-10
solarflare_tcn_oversampled_ws4.h5,11-14,M,2.5811455750535117e-10,0.00012331896869000047,6.367621972458437e-05,0.9998130202293396,7.300648974251089e-10
solarflare_tcn_oversampled_ws4.h5,12-15,M,4.17913793848701e-12,1.549519583932124e-05,1.4723777894687373e-05,0.9999697208404541,1.4700721542859618e-11
solarflare_tcn_oversampled_ws4.h5,13-16,M,9.39681167079487e-13,4.378582616482163e-06,9.257797501049936e-06,0.9999862909317017,1.472973479299533e-11
solarflare_tcn_oversampled_ws4.h5,14-17,M,8.761952274838336e-11,1.0318046406609938e-05,4.001506113127107e-06,0.9999855756759644,3.2974112329497984e-10
solarflare_tcn_oversampled_ws4.h5,15-18,M,1.9661644534707534e-10,1.6336518456228077e-05,1.2782169505953789e-05,0.9999709129333496,6.607574487560441e-09
solarflare_tcn_oversampled_ws4.h5,16-19,M,3.711183582666422e-10,3.6573794204741716e-05,2.9743730920017697e-05,0.9999336004257202,6.928899232150343e-09
solarflare_tcn_oversampled_ws4.h5,17-20,M,1.594366028090377e-10,1.9781531591434032e-05,1.740105653880164e-05,0.9999628067016602,3.2215816681002707e-09
solarflare_tcn_oversampled_ws4.h5,18-21,M,1.9881433305224405e-11,9.663386663305573e-06,2.4223654691013508e-05,0.9999661445617676,1.4321793750937672e-09
solarflare_tcn_oversampled_ws4.h5,19-22,M,9.849456319988015e-12,8.83021766640013e-06,1.2078066902176943e-05,0.9999791383743286,6.427738202807731e-11
solarflare_tcn_oversampled_ws4.h5,20-23,M,3.3461386439448404e-11,6.977308657951653e-06,1.2715502634819131e-05,0.9999802112579346,6.598514512567988e-10
